Tamaño	C	JAVA	PROLOG
100	0.0	0.0	6.0
500	0.0	1.0	9.0
1000	0.0	3.0	11.0
5000	0.0	5.0	34.0
10000	1.0	11.0	87.0
50000	5.0	28.0	492.0
100000	10.0	55.0	907.0
500000	62.0	237.0	3616.0
1000000	119.0	469.0	11117.0
